
Possible line matches for the gamma energy 107 keV
Energy		Intensity	Conv. Coef.	Start Energy	Start Jp	 End Energy	End Jp
598.680000	Does Not	Exist	2249.020000	3  0		1650.340000	0  1
598.510000	Does Not	Exist	2299.900000	0  1		1701.390000	4  1
600.640000	Does Not	Exist	2410.850000	4  1		1810.210000	7  1
600.000000	Does Not	Exist	2499.300000	2  1		1899.300000	0  1
598.960000	Does Not	Exist	2499.300000	2  1		1900.340000	2  1
599.976000	Does Not	Exist	2511.520000	2  0		1911.544000	6  1
601.280000	Does Not	Exist	2850.300000	2  1		2249.020000	3  0

Possible line matches for the gamma energy 604 keV
Energy		Intensity	Conv. Coef.	Start Energy	Start Jp	 End Energy	End Jp
602.668000	  0.232900	  0.038000	1418.160000	2  1		815.492000	2  1
602.748000	Does Not	Exist	1650.340000	0  1		1047.592000	4  1
603.898000	Does Not	Exist	1731.700000	7  -1		1127.802000	3  1
605.355000	Does Not	Exist	2222.480000	2  1		1617.125000	3  -1
603.206000	Does Not	Exist	2249.020000	3  0		1645.814000	4  1
603.030000	Does Not	Exist	2277.130000	3  0		1674.100000	7  -1
604.390000	Does Not	Exist	2305.780000	3  1		1701.390000	4  1
604.320000	Does Not	Exist	2336.020000	3  -1		1731.700000	7  -1
604.950000	Does Not	Exist	2569.000000	2  0		1964.050000	2  1
602.800000	  0.036810	  0.000000	2722.350000	-1  0		2119.550000	-1  0
604.730000	Does Not	Exist	3022.730000	2  1		2418.000000	6  -1
603.400000	Does Not	Exist	3987.400000	16  -1		3384.000000	14  -1

