Possible line matches for the gamma energy 258.158 keV
Energy		Intensity	Conv. Coef.	Start Energy	Start Jp	 End Energy	End Jp
476.109000	Does Not	Exist	1751.881000	6  1		1275.772000	1  -1
475.322000	Does Not	Exist	1833.250000	5  -1		1357.928000	3  -1
476.088000	Does Not	Exist	2047.000000	-1  0		1570.912000	3  -1
476.285000	Does Not	Exist	2110.700000	10  -1		1634.415000	5  1
475.404000	Does Not	Exist	2112.600000	-1  0		1637.196000	1  -1
474.680000	Does Not	Exist	2112.600000	-1  0		1637.920000	7  -1
474.682000	Does Not	Exist	2203.000000	8  1		1728.318000	2  1
475.930000	Does Not	Exist	2230.750000	-1  0		1754.820000	7  -1
475.440000	Does Not	Exist	2283.000000	5  1		1807.560000	8  -1
474.673000	  0.057670	  0.021900	2337.350000	11  1		1862.677000	4  -1
476.023000	Does Not	Exist	2338.700000	-1  0		1862.677000	4  -1
474.870000	Does Not	Exist	2338.700000	-1  0		1863.830000	2  -1
476.120000	Does Not	Exist	2362.940000	-1  0		1886.820000	4  1
475.270000	Does Not	Exist	2362.940000	-1  0		1887.670000	7  1
475.880000	Does Not	Exist	2371.300000	-1  0		1895.420000	2  1
474.500000	Does Not	Exist	2375.600000	-1  0		1901.100000	12  1
475.870000	Does Not	Exist	2386.300000	-1  0		1910.430000	3  -1
474.540000	Does Not	Exist	2457.000000	-1  0		1982.460000	2  1
475.859000	Does Not	Exist	2529.400000	-1  0		2053.541000	5  -1
475.300000	Does Not	Exist	2554.300000	-1  0		2079.000000	6  1
474.510000	Does Not	Exist	2562.000000	7  1		2087.490000	10  1
476.120000	Does Not	Exist	2579.600000	2  1		2103.480000	2  1
476.108000	Does Not	Exist	2601.320000	11  1		2125.212000	0  1
476.300000	Does Not	Exist	2614.800000	-1  0		2138.500000	-1  0
475.090000	Does Not	Exist	2682.590000	13  -1		2207.500000	-1  0
474.720000	Does Not	Exist	2708.900000	-1  0		2234.180000	10  -1
474.800000	Does Not	Exist	2750.800000	-1  0		2276.000000	-1  0
474.500000	Does Not	Exist	2755.000000	8  1		2280.500000	-1  0
476.300000	Does Not	Exist	2768.700000	-1  0		2292.400000	5  1
474.700000	Does Not	Exist	2788.800000	-1  0		2314.100000	-1  0
475.150000	Does Not	Exist	2800.000000	-1  0		2324.850000	-1  0
474.650000	Does Not	Exist	2812.000000	-1  0		2337.350000	11  1
476.300000	Does Not	Exist	2815.000000	1  0		2338.700000	-1  0
475.700000	Does Not	Exist	2847.000000	7  1		2371.300000	-1  0
474.400000	Does Not	Exist	2848.400000	-1  0		2374.000000	6  1
475.200000	Does Not	Exist	2861.500000	-1  0		2386.300000	-1  0
474.400000	Does Not	Exist	2929.400000	1  -1		2455.000000	-1  0
475.000000	Does Not	Exist	2930.000000	9  1		2455.000000	-1  0
475.550000	Does Not	Exist	2934.550000	14  1		2459.000000	-1  0
476.100000	Does Not	Exist	2959.800000	-1  0		2483.700000	-1  0
475.640000	Does Not	Exist	2963.940000	13  -1		2488.300000	-1  0
475.600000	Does Not	Exist	2989.200000	-1  0		2513.600000	-1  0
