Possible line matches for the gamma energy 258.158 keV
Energy		Intensity	Conv. Coef.	Start Energy	Start Jp	 End Energy	End Jp
1161.332000	Does Not	Exist	2614.800000	1  0		1453.468000	2  1
1161.329000	Does Not	Exist	2647.000000	1  0		1485.671000	5  -1
1161.336000	Does Not	Exist	2697.000000	1  0		1535.664000	4  1
1161.001000	Does Not	Exist	2900.000000	1  1		1738.999000	3  -1
Possible line matches for the gamma energy 1204.19 keV
Energy		Intensity	Conv. Coef.	Start Energy	Start Jp	 End Energy	End Jp
1203.932000	Does Not	Exist	2125.212000	0  1		921.280000	8  1
1204.428000	Does Not	Exist	2480.200000	1  0		1275.772000	1  -1
1204.072000	Does Not	Exist	2562.000000	7  1		1357.928000	3  -1
1204.520000	Does Not	Exist	2579.600000	2  1		1375.080000	0  1
1203.697000	Does Not	Exist	2777.990000	3  -1		1574.293000	4  1
1204.177000	Does Not	Exist	2779.800000	1  0		1575.623000	6  -1
1204.284000	Does Not	Exist	2950.000000	1  0		1745.716000	1  1
1204.430000	Does Not	Exist	2971.800000	1  0		1767.370000	6  1
Possible line matches for the gamma energy 1206.64 keV
Energy		Intensity	Conv. Coef.	Start Energy	Start Jp	 End Energy	End Jp
1206.300000	  0.999100	  0.000912	1754.820000	7  -1		548.520000	6  1
1206.568000	Does Not	Exist	2482.340000	2  -1		1275.772000	1  -1
1206.824000	Does Not	Exist	2503.830000	1  -1		1297.006000	4  -1
1206.610000	Does Not	Exist	2697.000000	1  0		1490.390000	7  1
1206.536000	Does Not	Exist	2742.200000	1  0		1535.664000	4  1
1207.078000	Does Not	Exist	2777.990000	3  -1		1570.912000	3  -1
1206.232000	Does Not	Exist	2934.550000	4  1		1728.318000	2  1
1206.520000	Does Not	Exist	2989.200000	1  0		1782.680000	2  1
1207.050000	Does Not	Exist	3040.300000	1  0		1833.250000	5  -1
1206.970000	Does Not	Exist	3070.800000	1  0		1863.830000	2  -1
Possible line matches for the gamma energy 1342.59 keV
Energy		Intensity	Conv. Coef.	Start Energy	Start Jp	 End Energy	End Jp
1342.589000	Does Not	Exist	2230.750000	1  0		888.161000	2  1
1342.409000	Does Not	Exist	2403.400000	1  0		1060.991000	4  1
1343.074000	Does Not	Exist	2861.500000	1  0		1518.426000	5  -1
1342.482000	Does Not	Exist	3070.800000	1  0		1728.318000	2  1
Possible line matches for the gamma energy 1364.05 keV
Energy		Intensity	Conv. Coef.	Start Energy	Start Jp	 End Energy	End Jp
1364.035000	Does Not	Exist	2688.500000	1  0		1324.465000	6  1
1364.487000	Does Not	Exist	2755.000000	8  1		1390.513000	5  -1
1364.336000	Does Not	Exist	2900.000000	1  1		1535.664000	4  1
1363.638000	Does Not	Exist	2934.550000	4  1		1570.912000	3  -1
Possible line matches for the gamma energy 1404.78 keV
Energy		Intensity	Conv. Coef.	Start Energy	Start Jp	 End Energy	End Jp
1405.010000	Does Not	Exist	1485.671000	5  -1		 80.661000	2  1
1404.841000	Does Not	Exist	1670.505000	8  1		265.664000	4  1
1404.711000	Does Not	Exist	2614.800000	1  0		1210.089000	3  -1
1404.828000	Does Not	Exist	2680.600000	1  0		1275.772000	1  -1
1404.720000	Does Not	Exist	2779.800000	1  0		1375.080000	0  1
1404.423000	Does Not	Exist	2934.550000	4  1		1530.127000	6  -1
1404.736000	Does Not	Exist	2940.400000	1  0		1535.664000	4  1
1404.530000	Does Not	Exist	3070.800000	1  0		1666.270000	0  1
Possible line matches for the gamma energy 1413.32 keV
Energy		Intensity	Conv. Coef.	Start Energy	Start Jp	 End Energy	End Jp
1413.768000	Does Not	Exist	2562.000000	7  1		1148.232000	2  -1
1412.911000	Does Not	Exist	2623.000000	6  1		1210.089000	3  -1
1413.720000	Does Not	Exist	2788.800000	1  0		1375.080000	0  1
1413.577000	Does Not	Exist	2989.200000	1  0		1575.623000	6  -1
Possible line matches for the gamma energy 1428.16 keV
Energy		Intensity	Conv. Coef.	Start Energy	Start Jp	 End Energy	End Jp
1428.228000	Does Not	Exist	2704.000000	1  0		1275.772000	1  -1
1427.687000	Does Not	Exist	2818.200000	1  0		1390.513000	5  -1
1428.276000	Does Not	Exist	2963.940000	3  -1		1535.664000	4  1
Possible line matches for the gamma energy 2232.92 keV
Energy		Intensity	Conv. Coef.	Start Energy	Start Jp	 End Energy	End Jp
Possible line matches for the gamma energy 2240.11 keV
Energy		Intensity	Conv. Coef.	Start Energy	Start Jp	 End Energy	End Jp
2240.336000	Does Not	Exist	2506.000000	7  1		265.664000	4  1
2240.280000	Does Not	Exist	2788.800000	1  0		548.520000	6  1
Possible line matches for the gamma energy 2290.65 keV
Energy		Intensity	Conv. Coef.	Start Energy	Start Jp	 End Energy	End Jp
2290.639000	  0.078820	  0.000000	2371.300000	1  0		 80.661000	2  1
Possible line matches for the gamma energy 2306.05 keV
Energy		Intensity	Conv. Coef.	Start Energy	Start Jp	 End Energy	End Jp
2305.639000	Does Not	Exist	2386.300000	1  0		 80.661000	2  1
Possible line matches for the gamma energy 2310.69 keV
Energy		Intensity	Conv. Coef.	Start Energy	Start Jp	 End Energy	End Jp
2311.110000	Does Not	Exist	2859.630000	3  1		548.520000	6  1
Possible line matches for the gamma energy 2315.59 keV
Energy		Intensity	Conv. Coef.	Start Energy	Start Jp	 End Energy	End Jp
Possible line matches for the gamma energy 2331.62 keV
Energy		Intensity	Conv. Coef.	Start Energy	Start Jp	 End Energy	End Jp
2331.480000	Does Not	Exist	2880.000000	1  0		548.520000	6  1
Possible line matches for the gamma energy 2339.55 keV
Energy		Intensity	Conv. Coef.	Start Energy	Start Jp	 End Energy	End Jp
Possible line matches for the gamma energy 2346.69 keV
Energy		Intensity	Conv. Coef.	Start Energy	Start Jp	 End Energy	End Jp
Possible line matches for the gamma energy 2382.65 keV
Energy		Intensity	Conv. Coef.	Start Energy	Start Jp	 End Energy	End Jp
2382.336000	Does Not	Exist	2648.000000	1  0		265.664000	4  1
Possible line matches for the gamma energy 2395.49 keV
Energy		Intensity	Conv. Coef.	Start Energy	Start Jp	 End Energy	End Jp
Possible line matches for the gamma energy 2407.91 keV
Energy		Intensity	Conv. Coef.	Start Energy	Start Jp	 End Energy	End Jp
2407.639000	Does Not	Exist	2488.300000	1  0		 80.661000	2  1
Possible line matches for the gamma energy 2417.66 keV
Energy		Intensity	Conv. Coef.	Start Energy	Start Jp	 End Energy	End Jp
Possible line matches for the gamma energy 2425.16 keV
Energy		Intensity	Conv. Coef.	Start Energy	Start Jp	 End Energy	End Jp
2425.339000	Does Not	Exist	2506.000000	7  1		 80.661000	2  1
Possible line matches for the gamma energy 2425.65 keV
Energy		Intensity	Conv. Coef.	Start Energy	Start Jp	 End Energy	End Jp
2425.339000	Does Not	Exist	2506.000000	7  1		 80.661000	2  1
Possible line matches for the gamma energy 2429.22 keV
Energy		Intensity	Conv. Coef.	Start Energy	Start Jp	 End Energy	End Jp
2429.639000	  1.000000	  0.000000	2510.300000	1  0		 80.661000	2  1
Possible line matches for the gamma energy 2438.92 keV
Energy		Intensity	Conv. Coef.	Start Energy	Start Jp	 End Energy	End Jp
Possible line matches for the gamma energy 2474.05 keV
Energy		Intensity	Conv. Coef.	Start Energy	Start Jp	 End Energy	End Jp
2473.639000	  0.680300	  0.000000	2554.300000	1  0		 80.661000	2  1
Possible line matches for the gamma energy 2490.03 keV
Energy		Intensity	Conv. Coef.	Start Energy	Start Jp	 End Energy	End Jp
Possible line matches for the gamma energy 2490.68 keV
Energy		Intensity	Conv. Coef.	Start Energy	Start Jp	 End Energy	End Jp
Possible line matches for the gamma energy 2506.57 keV
Energy		Intensity	Conv. Coef.	Start Energy	Start Jp	 End Energy	End Jp
Possible line matches for the gamma energy 2520.43 keV
Energy		Intensity	Conv. Coef.	Start Energy	Start Jp	 End Energy	End Jp
2520.400000	  0.456000	  0.001175	2520.400000	1  -1		  0.000000	0  1
2520.659000	Does Not	Exist	2601.320000	1  1		 80.661000	2  1
Possible line matches for the gamma energy 2533.53 keV
Energy		Intensity	Conv. Coef.	Start Energy	Start Jp	 End Energy	End Jp
Possible line matches for the gamma energy 2537.73 keV
Energy		Intensity	Conv. Coef.	Start Energy	Start Jp	 End Energy	End Jp
2537.400000	  0.793700	  0.000000	2537.400000	1  0		  0.000000	0  1
2537.280000	Does Not	Exist	3085.800000	1  0		548.520000	6  1
Possible line matches for the gamma energy 2551.85 keV
Energy		Intensity	Conv. Coef.	Start Energy	Start Jp	 End Energy	End Jp
Possible line matches for the gamma energy 2569.7 keV
Energy		Intensity	Conv. Coef.	Start Energy	Start Jp	 End Energy	End Jp
2569.400000	  0.718500	  0.001251	2569.400000	1  1		  0.000000	0  1
Possible line matches for the gamma energy 2591.94 keV
Energy		Intensity	Conv. Coef.	Start Energy	Start Jp	 End Energy	End Jp
Possible line matches for the gamma energy 2631.51 keV
Energy		Intensity	Conv. Coef.	Start Energy	Start Jp	 End Energy	End Jp
Possible line matches for the gamma energy 2657.18 keV
Energy		Intensity	Conv. Coef.	Start Energy	Start Jp	 End Energy	End Jp
